Classify,Description
Java,：-大学本科以上学历，2年以上Java开发经验，扎实的Java编程基础，熟悉IO、多线程、集合等基础框架，有高并发经验优先-精通Java Web开发，熟悉Spring、MyBatis、Tomcat等常用框架，了解IOC、AOP原理-熟悉常用数据库，如MySQL，有HBase、Redis或其他NoSQL相关使用经验，有数据库设计经验和性能调优经验优先-熟悉敏捷开发流程，具备分布式系统设计和开发经验优先-熟练使用Linux/Unix，能对系统性能瓶颈进行定位-熟悉常用设计模式，具有较强的问题分析和处理能力，有文档编写能力和良好的代码习惯，热衷技术
Java,"：1. 独立完成中小/中大型项目的系统分析、设计，并能够完成核心代码的编写，确保技术方案能够按计划要求，高质量的完成；2. 具有一定的技术设计/架构思维，JAVA 及相关领域建模能力扎实,确保设计的技术方案、开发的代码有较高性能、质量保障、扩展性；3. 对技术有较强的钻研及学习精神，能够深入了解开源技术、现有系统技术等相关技术原理，出现问题时能够通过较强的技术手段较好的解决问题；4.熟悉视频结构化以及相关视频经验优先。"
Java,：1、计算机或相关专业本科以上学历，有扎实的计算机基础知识和编程功底，5年及以上相关工作经验；2、有较强的问题解决能力，根据不同的场景可以给出较优的系统解决方案；3、精通多线程编程，熟悉JVM，熟悉常见的开源分布式中间件、缓存、消息队列等，熟悉MySQL，熟悉大数据处理、olap等，熟悉Linux下的DevOps；4、有较强的团队沟通协作能力和项目风险管理能力，可以push多团队协作按时交付项目；5、有丰富的系统架构设计经验，在一线互联网公司负责B端中台建设经验者优先，业务sense良好者优先。
Java,：1、计算机或相关专业本科以上学历，1年及以上相关工作经验；2、JAVA基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解；对于你用过的开源框架，能了解到它的原理和机制；3、至少熟悉一种大型数据库（mysql、oracle、postgrelSQL），有sql优化的经验；4、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制，有高并发应用开发经验，熟悉常用的分布式解决方案，能基于问题给出解决方案；5、有较强的团队沟通协作能力和项目风险管理能力，可以push多团队协作按时交付项目；6、有短视频、直播、电商、商业化审核系统开发经验者优先，业务sense良好者优先；7、学习能力强，具备耐心/细心的品质，喜欢去看及尝试最新的技术，从技术趋势和思路上能影响技术团队。
Java,"：• 统招本科及以上学历，计算机本科相关专业，4年以上Java开发经验。• Java基础扎实,面向对象分析、设计、开发能力。• 熟练J2EE，对各种开源的框架如Spring、SpringMVC、SpringBoot、MyBatis等有深入的应用和优化经验。• 掌握关系型与非关系型数据库，熟练Mysql、Redis、ElasticSearch等。• 熟悉分布式、缓存、消息队列等中间件技术。• 熟悉Linux系统，并能熟练掌握各种Linux命令及其工具，熟悉shell。"
Java,：1、计算机或相关专业专科及以上学历，3年以上工作经验2、java基础扎实，对代码质量有要求，掌握常用数据结构算法3、熟炼使用SpringMVC，Sprintboot，SpringCloud，Hibernate，Tomcat，Mysql数据库，Nginx，Linux4、掌握多线程，jvm，redis，mc等中间件调优优先5、熟悉阿云服务以及各产品的应用场景优先6、有强烈的学习欲望，有个人github或者博客优先加分项：有过高并发、网站优化经验
Java,：1、本科及以上学历，计算机相关专业，基础知识扎实；2、聪明，学习能力强，有独立解决问题的能力；3、熟悉面向对象编程，掌握java/c++/python/go中的至少一门语言；4、有良好的沟通能力和业务理解能力。
Java,：1、本科及以上学历，计算机相关专业，基础知识扎实；2、聪明，学习能力强，有独立解决问题的能力；3、三年以上的系统软件架构经验，精通Python/Go/Java/C++ 任一语言，有完整软件项目开发、迭代和实施经验；4、有良好的沟通能力和业务理解能力。
Java,：1. 具备扎实的Java基础，熟悉常用数据结构、JVM基本原理、并发编程等。2. 熟悉常用的中间件，如 dubbo，消息队列，流程引擎，规则引擎；3. 熟悉常用设计模式，掌握Spring、SpringBoot、MyBatis、SpirngMVC、Dubbo、VUE等技术；4 熟悉 Mysql，对事务，分库分表，性能优化等数据库的基本技能；5. 熟悉Tomcat、Jetty、Nginx等服务器配置使用；6. 熟悉多种远程通讯协议，熟悉消息中间件、缓存等技术；7. 做事积极主动，具有高度的责任感与团队合作精神，有良好的沟通能力。8. 统招本科及以上，3年以上相关经验，计算机相关专业。
Java,：1、本科及以上学历，五年以上工作经验，基础扎实；2、具有高并发、高可用应用系统的开发经验，能够根据实际业务需求进行技术选型并给出系统设计方案；3、能够熟练使用JAVA，Spring MVC，Spring Boot，Spring Cloud，Dubbo，Mybatis，MySql；4、熟悉RabbitMQ，Kafka，ActiveMQ，RocketMQ中的至少两种；5、熟悉Redis，MongoDB，Elasticsearch；6、具有酒店PMS/CRS系统相关开发经验优先考虑；7、具有OTA或电商行业工作经验优先考虑；
Java,"【岗位说明】1、负责公司运营平台后端、APP后端功能模块的开发，能独立进行产品新功能的需求开发；2、能独立完成功能模块的需求分析，设计以及代码编写；3、参与公司技术开发与实现相关规范的定义与实施，负责编写项目相关技术文档。【岗位需求】1、编辑基础扎实，掌握软件设计原则和常用开发模式，了解DDD领域建模思想与设计方法；2、对springBoot、srpingCloud等技术潮流保持关注，有技术geek；3、了解REST、CQRS、时间驱动架构等软件架构风格和模式；4、熟悉RabbitMQ等消息中间件的使用；5、掌握MongoDB、Redis等Nosql数据库技术。""如有意愿，请发送简历到指定邮箱。————————这是创业项目团队的集结，进入团队你要具备不仅是你理解该有的技能，你还要做好面对，从0到1的挑战和艰辛，从1到N的坎坷至辉煌……同时还要-扩展你的格局，放大你的野心，强化你的心理，提升你的技能，因为我们要提供的不会只是你现在看到的空间，只要你可以，我们愿意任你成长。未来一段时间，你可能要独自承担一份压力，独立解决N个难题，未来一段时间，我们肯定会共同面向一个目标，共同铸造一份辉煌。"
Java,工作经验和能力要求：1、统招本科及以上学历，3年以上J2EE开发经验；2、熟悉常见设计模式，熟练使用 Spring、SpringMVC、Mybatis等框架，有Springboot、SpringCloud等相关框架开发经验优先；3、熟悉Linux常用命令，至少熟练使用Mysql、Oracle、SqlServer其中一种，具有SQL编写及调优能力，有NoSQL数据库使用经验者优先；4、有hadoop大数据相关开发经验者优先；5、责任心强，具备良好的团队合作精神和承受压力的能力；6、有保险银行业经验者优先。岗位职责：1、参与系统模块功能设计及相关文档编写；2、完成分配的功能模块开发、自测工作，配合测试人员完成模块BUG修改；3、积极学习项目所需技术，提升自身技术实力；4、完成领导安排的其他工作。
Java,：1、 本科及以上学历，计算机相关专业毕业，具有3年以上J2EE开发经验；2、 精通Java语言，熟悉B/S架构的软件体系，精通springmvc+spring+mybatis/ibatis后端开发框架，及jsp、ajax、html、xml、JavaScript、jQuery等前端页面处理技术；3、 熟悉SpringCloud相关组件，掌握微服务原理及相关技术架构能力；4、 熟悉HBase、HIVE等大数据生态数据库，及Memcached、Redis等缓存组件；5、 熟练掌握MySQL数据库，熟悉关系型数据库原理，能进行性能优化；6、 在Github或开源社区保持活跃者、熟悉Solr或lucene源代码及架构者的优先考虑。
Java,：1、计算机或相关专业本科以上学历，有扎实的计算机基础知识和编程功底，5年及以上相关工作经验；2、有较强的问题解决能力，根据不同的场景可以给出较优的系统解决方案；3、精通多线程编程，熟悉JVM，熟悉常见的开源分布式中间件、缓存、消息队列等，熟悉MySQL，熟悉大数据处理、olap等，熟悉Linux下的DevOps；4、有较强的团队沟通协作能力和项目风险管理能力，可以push多团队协作按时交付项目；5、有丰富的系统架构设计经验，在一线互联网公司负责B端中台建设经验者优先，业务sense良好者优先。
Java,：1、计算机或相关专业本科以上学历，1年及以上相关工作经验；2、JAVA基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解；对于你用过的开源框架，能了解到它的原理和机制；3、至少熟悉一种大型数据库（mysql、oracle、postgrelSQL），有sql优化的经验；4、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息等机制，有高并发应用开发经验，熟悉常用的分布式解决方案，能基于问题给出解决方案；5、有较强的团队沟通协作能力和项目风险管理能力，可以push多团队协作按时交付项目；6、有短视频、直播、电商、商业化审核系统开发经验者优先，业务sense良好者优先；7、学习能力强，具备耐心/细心的品质，喜欢去看及尝试最新的技术，从技术趋势和思路上能影响技术团队。
Java,：1、计算机或相关专业专科及以上学历，3年以上工作经验2、java基础扎实，对代码质量有要求，掌握常用数据结构算法3、熟炼使用SpringMVC，Sprintboot，SpringCloud，Hibernate，Tomcat，Mysql数据库，Nginx，Linux4、掌握多线程，jvm，redis，mc等中间件调优优先5、熟悉阿云服务以及各产品的应用场景优先6、有强烈的学习欲望，有个人github或者博客优先加分项：有过高并发、网站优化经验
Java,：1.      软件开发相关专业，统招本科及以上学历；2.      1-3年以上软件开发工作经验；3.      精通Spring/Springboot，有Springcloud开发经验或深刻理解；5.      精通UML设计，有较强的设计文档编写能力；6.      熟悉关系型数据库技术，如MySql、Oracle、 Mango等；7.      熟悉Linux 操作系统；8.      责任心强，具有良好的沟通能力、学习能力和团队合作精神；9.      有电信行业、大型业务运营后台开发经验者优先。
Java,:1．扎实的Java和数据库基础，精通面向对象分析和设计技术，包括设计模式、UML建模等；2．熟悉底层中间件、分布式技术（包括RCP框架、缓存、消息系统等）；3．对Spring、MyBatis等常用开源框架应用经验丰富，对框架本身的体系有较为深厚的理解和应用经验，对框架本身有过开发、重构者或者参与过开源框架优先考虑；4．对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力，沟通技能，团队合作能力；5．具备良好的沟通和协作技能、拿结果能力，能够有效的推进工作落地；6. 有互联网业务背景，有大规模、高并发访问的Web应用开发经验。
Java,：1、3年以上java开发经验，熟悉微服务架构理念，有实战经验，在服务治理，服务监控方面有相关开发经验；2、熟练掌握Spring、Spring MVC、Mybatis、Redis、Mongodb、Mysql读写分离、消息队列；3、有spring boot、Eureka、spring cloud、Netflix OSS、Dubbo、Zookeeper、基于RPC或消息中间件的分布式架构设计、Docker等经验者优先；4、精通java语言，在高并发，高性能方面有相关开发经验；5、具有扎实的Java编程功底和良好的编码规范；6、熟练使用linux、Tomcat、Nginx等开源的服务器的配置；7、熟悉Web前端技术，包括JQuery/AngularJS/VUE/Ajax等；8、做过App服务接口、对微信支付、分享等有过实战对接经验；9、深入理解HTTP协议、熟悉RestAPI、熟悉并发、多线程开发；10、具备持续学习的能力、高度的抽象设计能力、思路清晰、善于思考、能独立分析和解决问题；11、学习能力强，有自驱力，有强烈的责任心和团队精神，踏实可靠，善于沟通和合作，良好的编码风格！
Java,1、大学本科或以上同等学历，3年以上编程经验，计算机相关专业毕业；2、J2SE基础扎实，熟悉常用的Thread等接口以常用工具类，熟悉常用JAVA设计模式；3、精通J2EE标准 以及常用 Spring、Ibatis、spring boot 等常用框架；4、具备良好的需求分析能力；5、熟悉Html编程技术，对当前主流JS框架（vue、esayui、bootstrap、Jquery等）能够熟练运用，熟悉h5；6、具备电子版式服务相关项目经验者优先；7、能够吃苦耐劳，认真负责，具备良好的团队协作精神。
Java,：1、有责任心2、具有良好的沟通能力和学习能力3、有独立解决问题的能力4、有良好的编程基础5、对公司产品有认同感的优先
Java,"：1、计算机、通信、数学类相关专业，本科及以上学历；2、至少3年以上应用开发经验；3、熟悉J2EE开发及相关技术，熟悉HTML,java、flex、spring、ibatis和webservice等相关框架和技术；4、熟练使用oracle、mysql等常用的数据库系统、熟练使用 tomcat 应用服务器, 熟练使用Linux等操作系统；5、熟练使用SVN 、JUnit等常用工具；6、熟悉snmp、telnet、http、ssh等网络通信协议；7、具备良好的学习能力、沟通能力、逻辑思维能力和团队合作精神，较强的责任心。"
Java,:1、精通Java/Scala语言，5年以上Java开发经验；2、扎实的计算机基础，对技术有热情，愿意不断尝试新技术和业务挑战；3、精通Spring架构和微服务架构；4、熟悉前端技术的全栈开发工程师优先；5、熟悉Hadoop常用开源框架者优先；。6、熟悉ElasticSearch平台者优先；。7、有图数据库开发经验者优先考虑；
Java,】1、统招本科或以上学历，计算机相关专业，5年以上工作经验，熟悉JavaWeb开发;2、具有BS应用开发经验，有RestfulAPI设计经验;熟练使用常见设计模式;3、精通Spring、Freemarker、Struts、MyBatis、SpringBoot等流行框架的配置、部署、应用;4、熟悉 MySQL、Redis;精通JVM调优、接口及数据库性能优化；有一定的架构能力;5、熟悉一种以上web服务器，如tomcat、Jetty等；熟悉http协议;6、熟悉Maven、Git、SVN等软件项目管理工具;7、有移动端微信公众号服务开发经验优先考虑;有带团队经验优先考虑。
Java,:1．扎实的Java和数据库基础，精通面向对象分析和设计技术，包括设计模式、UML建模等；2．熟悉底层中间件、分布式技术（包括RCP框架、缓存、消息系统等）；3．对Spring、MyBatis等常用开源框架应用经验丰富，对框架本身的体系有较为深厚的理解和应用经验，对框架本身有过开发、重构者或者参与过开源框架优先考虑；4．对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力，沟通技能，团队合作能力；5．具备良好的沟通和协作技能、拿结果能力，能够有效的推进工作落地；6. 有互联网业务背景，有大规模、高并发访问的Web应用开发经验。
Java,：1.本科及以上学历，3年及以上Java研发经验，精通Java语言，多线程编程，了解 Java虚拟机，可独立负责项目或者模块的研发工作，计算机相关专业优先考虑；2.熟悉面向对象编程思想，熟练运用设计模式，理解面向服务思想；熟悉Spring，Spring MVC，MyBatis，Shiro等开源框架；熟悉Nginx/Tomcat/Dubbo/spring cloud/Redis/RabbitMQ等至少一年spring cloud 实际项目开发经验.熟悉Kafka/flink/kettle 优先考虑;3.热爱技术研发工作，喜欢钻研，独立思考，对自己的能力，定位，发展有清晰的认知；4.持续追求卓越，能够拥抱变化，结果导向，对产出负责；5.开发分享，勇于担责，不推诿，对生产以及应急问题能够**时间相应;6.有过征信及反洗钱相关业务经验优先考虑。工作地址
