Classify,Description
Java,工作职责：负责猿辅导相关产品服务器端的开发职位要求：计算机相关专业本科及以上学历熟悉 Java/C++/Python 语言中的一种熟悉 MySQL/Redis/Memcached熟悉 TCP/IP/RTP/RTCP 协议栈者优
Java,参与部门Java基础平台架构设计与优化，通用组件、中间件、运营系统设计与开发，包括但不限于支付API、BI系统等岗位要求：1.有3至5年java项目开发经验，Java基础扎实，规范的编码，了解设计模式；2.熟练使用常见的rpc框架例如dubbo、restful规范、数据库中间件，缓存，消息队列，日志监控，springboot，mybatis等技术。3.曾经在中大型项目中担任主要的角色，对应用系统架构，系统可扩展性、健壮性、效率等有自己的设计思路。4.对技术有激情，喜欢钻研，能快速接受和掌握新技术，有较强的独立、主动的学习能力，良好的沟通表达能力和团队协作能力；5.工作认真、严谨、敬业，重视系统质量，对系统有一颗敬畏之心；
Java,职位诱惑：1.亿级流量2.核心团队工作职责:1. 负责实现核心业务功能2. 对业务需求进行合理抽象3. 迭代优化系统架构，构建稳定可靠的服务岗位要求:1. 统招本科及以上学历，3年以上工作经验，计算机等相关专业优先2. 具有扎实的计算机知识基础和良好的团队合作能力3. Java基础扎实，算法数据结构过硬。有高并发、高可用分布式在线服务开发经验优先4. 优秀的业务理解和问题分析能力，主动性和自驱性强5. 熟练掌握dubbo\springboot\mysql\redis\mq等技术；6. 对设计模式、面向对象有非常深刻的理解者优先。
Java,"岗位职责：1、独立承担关键功能模块的设计和开发。2、根据需求进行概要设计及详细设计以及模块的实现。3、配合项目经理完成项目实施的技术工作。4、对编写的代码进行模块测试。任职资格：1. 本科及以上学历，计算机相关专业，3-5年工作经验；2. Java基础扎实，精通多线程、并发、集合、网络、io等基础知识，熟悉JVM；3. 熟练掌握各类算法、常用数据结构、设计模式；4. 会使用svn、git进行代码协同管理；5. 深入理解SpringMVC，SpringBoot, SpringCloud, Mybatis, Dubbo, zookeeper等领域的框架或产品的机制与代码；6. 熟悉 SQL、NoSQL、缓存、消息通信、队列、异步框架等技术；7. 熟悉高性能、高并发系统设计方案，如分布式缓存、ElasticSearch、消息队列等；8. 思路清晰，优秀的分析与沟通能力，编码规范；"
Java,"1.熟练掌握JAVA语言；2.熟练掌握Spring开发，能够在Spring/Spring boot/Spring等开发框架下开发应用；3.熟悉Linux常用命令,掌握在Linux下进行开发部署测试；4.掌握基于Oracle、Mysql等关系型数据库的模型设计与开发；5.了解HTML、JS、JSP、CSS等前端框架；6.能够使用IDEA/Eclipse、Git/ClearCase或同类开发及版本管理工具；7.熟悉软件的分析、设计、开发、测试（单元测试，组件测试）、部署和运维基本知识，具备相关经验者从优录用；8.有银行、保险、基金、积分相关从业经验者从优录用。"
Java,工作职责：负责猿辅导主App相关产品服务器端的开发职位要求：计算机相关专业本科及以上学历1年以上服务器端开发经历熟悉 Java/C++/Python 语言中的一种熟悉 MySQL/Redis/Memcached熟悉 TCP/IP/RTP/RTCP 协议栈者优先
Java,工作职责负责英语在线服务端的架构改进、完善、性能优化、保证系统稳定性；参与技术决策，技术选型、技术架构和技术风险评估；负责系统及相关产品需求分析及架构设计；负责解决项目中的关键问题和技术难题，协助中级工程师对线上疑难问题进行排查和解决，并给出恰当的指导和改进意见；负责基础类库、核心代码开发、系统优化等工作；职位要求本科及以上学历，计算机相关专业，3年以上系统研发工作经验；独立承担超过2年以上的软件项目系统分析和架构设计经验，有相关系统软件架构设计经验；熟悉JAVA体系架构，精通主流的开源框架；了解最新的技术及发展趋向，有大局观念；熟悉缓存技术和分布式系统理论，有相关项目实战经验；较强的文档撰写能力，良好的语言表达及沟通能力；逻辑思维能力、逻辑分析能力、学习能力和创新能力强，具有团队合作精神；有大数据量、高并发、高可用系统的设计开发经验优先；具有较强产品意识者优先；具有大/中型互联网公司工作经验者优先；
Java,职位描述1.负责网联交易链路方向、金融新业务方向、内外运营服务方向。2.要仔细、严谨、正值;敬畏生产，故畏生产，敬畏生产。任职要求全日制本科211以上或以上学历，计算机软件或相关专业，4年以上java相关项目经验。掌握Java、 Spring、Dubbo，mysql、Java并发组件。加分项1.开发方面，有大数据、工作流、基础组件、机器学习方面的经验加分。2.运维方面，有故障排查和系统优化的经验，有稳定性保障的经验加分。业务方面，跟支付/金融领域相关，或跟营销/运营/CRM/供应链/广告系统/企业服务相关加分。
Java,【职位描述】：1. 负责某一方面业务系统的开发、迭代和优化工作；2. 负责服务端系统技术方案、架构设计、业务逻辑抽象等工作；3. 负责业务后台功能和模块的开发实现。【任职资格】：1、计算机相关专业，3年/5年以上大中型项目java研发经验；2、JAVA基础扎实，理解IO、多线程、集合等基础框架，对JVM原理有一定的了解；3、熟悉分布式系统的设计和应用，熟悉微服务、缓存、消息等机制；4、思路清晰，有良好的业务需求理解、分析、抽象能力和软件设计能力；5、对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力；6、具备良好的沟通技能和团队合作能力，推进工作执行，以结果为导向。
Java,"岗位职责：1、 系统的需求调研和需求分析，撰写相关技术文档 ；2、 项目概要设计、详细设计、开发计划等的编制并实施；3、 搭建系统开发环境，完成系统框架和核心算法的设计；4、 系统开发、调试、布署和集成；5、 根据开发流程要求完成相应文档资料；6、 参与业务技术，熟悉公司平台产品，并对平台不断提出改进意见；岗位要求：1、计算机或相关专业本科以上学历（能力优秀者专科学历亦可），211或985学校优先考虑；2、5年以上的JAVA研发经验，熟练掌握Java核心技术以及面向对象设计方法，熟练掌握Servlet、JDBC等技术3、熟悉常见Spring、SpringCloud, Hibernate、Mybatis以及其他J2EE框架开发。4、熟悉常用的缓存、消息队列，搜索等中间件技术；5、熟悉关系数据库，精通SQL语言，熟练掌握存储过程、触发器的编写；6、敬业、主动、宽容、易相处，良好的团队合作意识。7、有互联网广告、竞价广告系统开发设计尤佳。"
